,weight,stock_num,name
0,0.15,688036,传音控股
1,0.12,688012,中微公司
2,0.08,688009,中国通号
3,0.17,688008,澜起科技
4,0.22,603993,洛阳钼业
5,0.31,603986,兆易创新
6,0.14,603899,晨光文具
7,0.14,603833,欧派家居
8,0.27,603799,华友钴业
9,0.08,603658,安图生物
10,0.57,603501,韦尔股份
11,0.05,603392,万泰生物
12,0.15,603369,今世缘
13,0.80,603288,海天味业
14,0.86,603259,药明康德
15,0.06,603195,公牛集团
16,0.16,603160,汇顶科技
17,0.07,603156,养元饮品
18,0.04,603087,甘李药业
19,0.16,603019,中科曙光
20,0.09,601998,中信银行
21,0.08,601990,南京证券
22,0.20,601989,中国重工
23,0.37,601988,中国银行
24,0.15,601985,中国核电
25,0.26,601939,建设银行
26,0.14,601933,永辉超市
27,0.27,601919,中远海控
28,0.07,601916,浙商银行
29,0.19,601901,方正证券
30,0.79,601899,紫金矿业
31,1.47,601888,中国中免
32,0.07,601881,中国银河
33,0.12,601878,浙商证券
34,0.19,601877,正泰电器
35,0.06,601872,招商轮船
36,0.23,601857,中国石油
37,0.13,601838,成都银行
38,0.35,601818,光大银行
39,0.10,601816,京沪高铁
40,0.05,601808,中海油服
41,0.13,601800,中国交建
42,0.19,601788,光大证券
43,0.42,601766,中国中车
44,0.11,601727,上海电气
45,0.04,601698,中国卫通
46,0.03,601696,中银证券
47,0.53,601688,华泰证券
48,0.16,601669,中国电建
49,0.56,601668,中国建筑
50,0.11,601658,邮储银行
51,0.19,601633,长城汽车
52,0.29,601628,中国人寿
53,0.12,601618,中国中冶
54,0.12,601607,上海医药
55,0.77,601601,中国太保
56,0.14,601600,中国铝业
57,0.05,601577,长沙银行
58,0.15,601555,东吴证券
59,1.02,601398,工商银行
60,0.32,601390,中国中铁
61,0.24,601377,兴业证券
62,0.17,601360,三六零
63,0.23,601336,新华保险
64,0.68,601328,交通银行
65,0.07,601319,中国人保
66,4.86,601318,中国平安
67,0.51,601288,农业银行
68,0.05,601238,广汽集团
69,0.05,601236,红塔证券
70,0.07,601231,环旭电子
71,0.44,601229,上海银行
72,0.23,601225,陕西煤业
73,0.10,601216,君正集团
74,0.39,601211,国泰君安
75,0.08,601198,东兴证券
76,0.19,601186,中国铁建
